pname,netprice,sellingprice,category,severity,problem_tags
Bringadi Intensive Hair Treatment Oil,698,930,Hair,High Severity,"hair-fall,dandruff,premature-greying,hair-oil,scalp-care"
Bringadi Hair Cleanser,1196,1595,Hair,Improver,"hair-fall,damaged-hair,shampoo,volumizing,scalp-care"
Bringadi Hair Conditioner,506,675,Hair,Improver,"dry-hair,frizzy-hair,conditioner,damage-repair,moisturizing"
Sanobar Hair Cleanser,698,930,Hair,Regular,"oily-scalp,clarifying,shampoo,scalp-care,daily-cleanse"
Himalayan Deodar Hair Cleanser,1181,1575,Hair,Regular,"dry-hair,shampoo,scalp-care,cleansing,refreshing"
Rose & Jasmine Hair Conditioner,469,625,Hair,Improver,"dry-hair,frizzy-hair,conditioner,shine,moisturizing"
Organic Henna Powder,821,1095,Hair,Improver,"hair-color,henna,hair-treatment,shine,conditioning"
Organic Indigo Powder,821,1095,Hair,High Severity,"hair-color,indigo,premature-greying,hair-treatment,thickening"
Bhringraj Hair Vitalizer,1238,1650,Hair,High Severity,"hair-fall,hair-growth,scalp-tonic,scalp-care,thinning"
Japapatti Hair Cleanser,1196,1595,Hair,High Severity,"dry-hair,damaged-hair,shampoo,repair,scalp-care"
Bhringraj & Shikakai Hair Cleanser,1196,1595,Hair,High Severity,"hair-fall,dandruff,shampoo,scalp-care,anti-dandruff"
Japapatti Hair Conditioner,1406,1875,Hair,Improver,"dry-hair,damaged-hair,conditioner,repair,frizz-control"
Intensive Hair Repair Masque Japapatti & Brahmi,1688,2250,Hair,High Severity,"damaged-hair,hair-mask,repair,frizz-control,deep-conditioning"
Hair Thickening Spray Bhringraj & Shikakai,1612,2150,Hair,High Severity,"thinning,hair-spray,volume,root-lift,hair-fall"
Bio Kelp Protein Shampoo,97,129,Hair,Improver,"hair-fall,protein-shampoo,shampoo,hair-growth,scalp-care"
Bio Green Apple Shampoo,97,129,Hair,Regular,"dull-hair,shine,shampoo,smoothening,cleansing"
Bio Soya Protein Shampoo,109,145,Hair,High Severity,"damaged-hair,protein-shampoo,repair,shampoo,dry-hair"
Bio Bhringraj Therapeutic Hair Oil,160,214,Hair,High Severity,"hair-fall,hair-growth,hair-oil,premature-greying,dandruff"
